id,pytanie,ilustracja,odpa,odpb,odpc
1,"Resuscytację krążeniowo-oddechową u osoby dorosłej, bez widocznych obrażeń ciała, wykonujemy w stosunku:",,"30 uciśnięć klatki piersiowej na 2 wdechy","20 uciśnięć klatki piersiowej na 4 wdechy","15 uciśnięć klatki piersiowej na 6 wdechów"
2,"Które z poniższych środków ostrożności należy podjąć podczas pomiaru wysokiego napięcia za pomocą woltomierza?",,"upewnij się, że woltomierz ma bardzo niską impedancję","upewnij się, że woltomierz i przewody są przystosowane do użytku przy spodziewanych poziomach napięć","upewnij się, że obwód jest uziemiony przez woltomierz"
3,"Które z poniższych twierdzeń jest prawdziwe w przypadku wykonywania instalacji odgromowej?",,"należy używać jedynie izolowanych przewodów","należy używać jedynie stalowych przewodów i zwodów","należy unikać wszelkich ostrych krawędzi i zakrętów"
4,"Jakie oznaczenie na rękojeści narzędzia ma istotne znaczenie przy pracach elektrycznych?",,"rodzaj zastosowanej izolacji","model narzędzia","dopuszczalne napięcie pracy"
5,"Dlaczego stosuje się ograniczenia w przebywaniu (zamieszkaniu) w bezpośrednim sąsiedztwie dużych obiektów nadawczych radiowych i telewizyjnych?",,"ze względu na wyładowania atmosferyczne","ze względu na duże natężenie pola elektromagnetycznego mogące mieć negatywny wpływ na zdrowie","ze względu na możliwość przewrócenia się masztu"
6,"Czy wolno wykonywać prace antenowe przy włączonym nadajniku?",,"wolno, bez żadnych ograniczeń","wolno, ale tylko przy małych mocach nadajnika","kategorycznie nie wolno"
7,"Na polu antenowym mamy kilka anten na różne pasma. Czy można regulować nieczynne anteny, jeżeli obok pracuje na podobnej antenie nadajnik KF?",,"nie wolno","można","można, ale tylko gdy nadajnik ten pracuje z małą mocą"
8,"Spełnienie jakich warunków konstrukcyjnych ogranicza przedostawanie się energii w.cz. niepożądanymi drogami?",,"dobre uziemienie i szczelność ekranowania","filtrowany zasilacz","odpowiedni przekrój kabla sieciowego"
9,"Czy źle wykonany uziom może być przyczyną szkodliwego promieniowania w.cz.?",,"nie","tak","nie zawsze"
10,"Jakie niebezpieczeństwo grozi, gdy trzymamy w rękach naładowany kondensator elektrolityczny?",,"porażenie prądem elektrycznym","nie ma żadnego niebezpieczeństwa","implozja kondensatora"
11,"Czy zwarcie drutem biegunów akumulatora o napięciu 12V może być niebezpieczne?",,"nie ma żadnego zagrożenia","tak, może spowodować pożar lub poparzenie","tak, może spowodować porażenie prądem"
12,"Czy kondensator elektrolityczny musi mieć napięcie pracy równe lub większe niż napięcie występujące w układzie w jakim pracuje?",,"napięcie pracy kondensatora nie ma znaczenia","musi, ale tylko w przypadku, gdy są to napięcia stałe","koniecznie, gdyż może ulec zniszczeniu"
13,"Czy brak filtru przeciwzakłóceniowego na obwodzie zasilania sieciowego może być przyczyną zakłóceń w pracy urządzenia?",,"tak, ale tylko przy dużej mocy","zawsze, bez względu na moc","to nie ma znaczenia, rolę filtru pełni transformator zasilacza"
14,"Czym grozi dotknięcie uszkodzonego fidera zasilającego antenę na pasmo 2 m mocą 100 W?",,"poparzeniem","skurczami mięśni od porażenia prądem","uszkodzeniem nadajnika"
15,"Czy sztuczne obciążenie w postaci rezystora bezindukcyjnego powinno być ekranowane?",,"tak","tak, ale tylko w przypadku użycia dużych mocy","nie"
16,"Dlaczego nie należy od razu uruchamiać urządzenia po przeniesieniu z zimnego pomieszczenia do ciepłego?",,"nie ma przeciwwskazań","ze względu na możliwość wystąpienia kondensacji pary wodnej","ze względu na możliwość wystąpienia napięcia na kondensatorach"
17,"Czy plastikowa obudowa urządzenia nadawczego stanowi odpowiednie zabezpieczenie przed oddziaływaniem energii w.cz.?",,"jest to wystarczające zabezpieczenie przed energią w.cz.","urządzenia tego używa się głównie na terenowym QTH więc takie zabezpieczenie nie jest potrzebne","nie stanowi żadnego zabezpieczenia przed energią w.cz."
18,"Czy zasilaczem z oznaczeniem 13,8 V 30 A można zasilać typową radiostację amatorską pobierającą 13,8 V 20 A?",,"nie można, radiostacja może ulec uszkodzeniu","można","nie można, zasilacz może ulec uszkodzeniu"
19,"Czy można wykorzystać jako uziemienie rurę instalacji gazowej?",,"bezwzględnie nie wolno","wolno bez żadnych ograniczeń","wolno jedynie w sytuacji, gdy nie dysponuje się innym uziemieniem"
20,"Jakie działania należy podjąć, aby udzielić pomocy porażonemu prądem elektrycznym?",,"odłączyć porażonego od prądu, podjąć działania w celu wyeliminowania skutków ewentualnych poparzeń","zadbać o własne bezpieczeństwo, odłączyć porażonego od prądu, sprawdzić funkcje życiowe, wezwać lekarza, w razie konieczności przeprowadzać resuscytację krążeniowo-oddechową","zadbać o własne bezpieczeństwo, wezwać znajomych w celu prowadzenia wspólnej akcji ratowniczej"
21,"Urządzenia pod napięciem, które się zapaliły, gasimy:",,"wodą","wodą, ale tylko z użyciem np. wiadra","gaśnicą proszkową"
22,"W Polsce przewód ochronny w instalacji elektrycznej oznaczony jest kolorem:",,"niebieskim","brązowym lub czarnym","żółto-zielonym"
23,"Narzędzia do prac elektrycznych powinny:",,"charakteryzować się estetyką wykonania","posiadać homologację Ministerstwa Łączności","posiadać izolowane uchwyty z nadrukowaną informacją o dopuszczalnym napięciu pracy np. 500 V"
24,"Czy radiostację i urządzenia pomocnicze można podłączać do gniazd zasilanych z dwóch różnych faz?",,"można, nie ma żadnych przeciwwskazań","kategorycznie nie można, grozi to zniszczeniem sprzętu i porażeniem operatora","można, jeżeli jednocześnie nie używa się wszystkich urządzeń"
25,"Jaka powinna być rezystancja uziemienia radiostacji?",,"50 Ω","zależnie od kabla antenowego: 50 lub 75 Ω","poniżej 10 Ω"
26,"W momencie stwierdzenia pożaru urządzenia należy:",,"zadzwonić po straż pożarną","wezwać kolegów i wspólnie przystąpić do gaszenia","odłączyć zasilanie i przystąpić do gaszenia, w razie potrzeby wezwać straż pożarną"
27,"Transformator ochronny stosujemy, gdy:",,"zachodzi obawa, że użycie narzędzi elektrycznych zasilanych napięciem 230 V może spowodować porażenie prądem, np. pracując na zewnątrz pomieszczeń","wykonujemy prace w wilgotnym pomieszczeniu","jak w punkcie A i B i w innych sytuacjach, jeżeli zachodzi niebezpieczeństwo porażenia prądem np. przy pracach naprawczych"
28,"W przypadku zaprószenia oka ciałem obcym należy:",,"odczekać aż ciało obce samo wypadnie","usunąć ciało obce samodzielnie za pomocą pęsety","spróbować usunąć obce ciało, przemywając oko wodą, a jeżeli się to nie uda skorzystać z pomocy lekarza"
